Description url,Main Name
/Magnetic-Primary-Davidson-Softail-Earlier/dp/B00H7OGBGY/ref=sr_1_9?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-9,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Magnetic-Primary-Davidson-Touring-Present/dp/B00H7M0SYC/ref=sr_1_10?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-10,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Super-Magnetic-Harley-Davidson-Touring/dp/B00H7MKEYG/ref=sr_1_11?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-11,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Super-Magnetic-2014-2015-Indian-Motorcycles/dp/B00RY2ENFU/ref=sr_1_12?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-12,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Magnetic-Primary-Harley-Davidson-Glides/dp/B00H89D2J2/ref=sr_1_13?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-13,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Magnetic-Transmission-Harley-Davidson-Softail/dp/B00H7ODRIO/ref=sr_1_14?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-14,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Super-Magnetic-Earlier-Harley-Davidson/dp/B00H880K5C/ref=sr_1_15?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-15,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Super-Magnetic-Harley-Davidson-Glides/dp/B00H89BLA4/ref=sr_1_16?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-16,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Magnetic-Engine-Harley-Davidson-Glides/dp/B00H89ANTE/ref=sr_1_17?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-17,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
/Magnetic-Primary-Harley-Davidson-Softail/dp/B00H7OBY7U/ref=sr_1_18?fst=as%3Aoff&keywords=automotive+replacement+parts&qid=1574948440&refinements=p_89%3ACycle+Solutions&rnid=2528832011&s=automotive&sr=1-18,https://www.amazon.com/s/ref=sr_in_c_p_89_816/133-5815127-2480439?fst=as%3Aoff&rh=n%3A15684181%2Cn%3A15719731%2Ck%3Aautomotive+replacement+parts%2Cp_89%3ACycle+Solutions&bbn=15719731&keywords=automotive+replacement+parts&ie=UTF8&qid=1574948340&rnid=2528832011
