Company Name,Franchise sinds,Aantal vestigingen,Waarvan franchise ,Totale investering ,Eigen vermogen ,Main Url
De Autostomerij,2009,10,30,€ 4.000,€ 4.000,https://franchiseplus.nl/franchiseformule/autostomerij
Date for 2,2013,6,6,€ 8.000,,https://franchiseplus.nl/franchiseformule/date-for-2
Dapp Frietwinkel,2014,4,1,€ 150.000,€ 25.000,https://franchiseplus.nl/franchiseformule/dapp-frietwinkel
Dam Verkeersschool,1973,21,21,€ 3.250,€ 0,https://franchiseplus.nl/franchiseformule/dam-verkeersschool
Dagwinkel,2004,,34,€ 75.000,€ 40.000,https://franchiseplus.nl/franchiseformule/dagwinkel
CustoMatraz,,,,,,https://franchiseplus.nl/franchiseformule/customatraz
Curves,1995,51,51,€ 70.000,€ 20.000,https://franchiseplus.nl/franchiseformule/curves
Cuplé,1987,100,73,€ 75.000,€ 50.000,https://franchiseplus.nl/franchiseformule/cuple
Culidelight,,1,,€ 25.000,€ 20.000,https://franchiseplus.nl/franchiseformule/culidelight
Crêpeaffaire,2004,16,,€ 125.000,€ 40.000,https://franchiseplus.nl/franchiseformule/crepeaffaire
Cristal Cleaning,1990,16,16,,,https://franchiseplus.nl/franchiseformule/cristal-cleaning
Crestcom,1987,7,6,,,https://franchiseplus.nl/franchiseformule/crestcom
Credion,2001,55,54,,,https://franchiseplus.nl/franchiseformule/credion
Cosmo Hairstyling,1984,74,71,€ 80.000,,https://franchiseplus.nl/franchiseformule/cosmo-hairstyling
Copper Branch,,92,85,€ 400.000,€ 120.000,https://franchiseplus.nl/franchiseformule/copper-branch
Coop,2001,258,143,,,https://franchiseplus.nl/franchiseformule/coop
ContractMakelaar,2016,5,4,,,https://franchiseplus.nl/franchiseformule/contractmakelaar
Colors@Home,2000,140,140,€ 50.000,€ 20.000,https://franchiseplus.nl/franchiseformule/colorshome
Color Glo,1975,28,17,€ 25.000,€ 25.000,https://franchiseplus.nl/franchiseformule/color-glo
Coffee Fellows,,5,,,,https://franchiseplus.nl/franchiseformule/coffee-fellows
CLUBTAN,2001,100,100,€ 75.000,€ 35.000,https://franchiseplus.nl/franchiseformule/clubtan
CijferMeester,2006,60,60,,,https://franchiseplus.nl/franchiseformule/cijfermeester
CIGO,2010,160,160,,,https://franchiseplus.nl/franchiseformule/cigo
CiEP,1992,31,30,€ 2.500,,https://franchiseplus.nl/franchiseformule/ciep
Het Gezonde Net,,,,,,https://franchiseplus.nl/franchiseformule/gezonde-net
Garantiemakelaars,1995,61,,€ 25.000,,https://franchiseplus.nl/franchiseformule/garantiemakelaars
Incassonet,2013,4,3,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/incassonet
In Person,,60,14,,,https://franchiseplus.nl/franchiseformule/in-person
iMarketeers,2014,1,,,,https://franchiseplus.nl/franchiseformule/imarketeers
Ikwileenstartershypotheek.nl,2019,,,,,https://franchiseplus.nl/franchiseformule/ikwileenstartershypotheeknl
IKEA,,0,,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/ikea
IJssalon MIN12,2008,6,5,€ 100.000,€ 75.000,https://franchiseplus.nl/franchiseformule/ijssalon-min12
IJscuypje,2010,16,16,€ 25.000,,https://franchiseplus.nl/franchiseformule/ijscuypje
iClean Carwash,0,,2011,,,https://franchiseplus.nl/franchiseformule/iclean-carwash
I Love Sushi,2016,33,33,,,https://franchiseplus.nl/franchiseformule/i-love-sushi
HypotheekCompany,1999,100,100,,,https://franchiseplus.nl/franchiseformule/hypotheekcompany
Hypotheek Visie,1992,59,54,,€ 7.500,https://franchiseplus.nl/franchiseformule/hypotheek-visie
Hypotheek Plan,,14,,,,https://franchiseplus.nl/franchiseformule/hypotheek-plan
Hypotheek Adviescentrum,1988,8,3,,,https://franchiseplus.nl/franchiseformule/hypotheek-adviescentrum
Husse,2015,8,8,€ 9.950,€ 9.950,https://franchiseplus.nl/franchiseformule/husse
Human Talent Group,2013,5,1,€ 20.000,€ 20.000,https://franchiseplus.nl/franchiseformule/human-talent-group
Huizonline.nl,2016,32,32,€ 695,€ 0,https://franchiseplus.nl/franchiseformule/huizonlinenl
Huiswerkinstituut HIP,2013,18,9,€ 50.000,€ 50.000,https://franchiseplus.nl/franchiseformule/huiswerkinstituut-hip
Huis & Hypotheek,,49,49,,,https://franchiseplus.nl/franchiseformule/huis-hypotheek
Hubo,1969,185,185,,,https://franchiseplus.nl/franchiseformule/hubo
HTR+ Group,,,,,,https://franchiseplus.nl/franchiseformule/htr-group
House of Papers,,,,,,https://franchiseplus.nl/franchiseformule/house-of-papers
Home Instead Thuisservice,2013,33,32,€ 100.000,€ 30.000,https://franchiseplus.nl/franchiseformule/home-instead-thuisservice
HomeTeam,2001,18,18,,,https://franchiseplus.nl/franchiseformule/hometeam
Hollandse SlijpService,2012,4,3,€ 35.000,€ 15.000,https://franchiseplus.nl/franchiseformule/hollandse-slijpservice
Holland Deuren Service,,13,11,€ 65.000,€ 5.000,https://franchiseplus.nl/franchiseformule/holland-deuren-service
Hokra,2014,,2,€ 10.000,€ 5.000,https://franchiseplus.nl/franchiseformule/hokra
Hobb's (Nelson Schoenen),,47,12,€ 6.000,€ 25.000,https://franchiseplus.nl/franchiseformule/hobbs-nelson-schoenen
Hizi Hair,,60,40,€ 100.000,€ 0,https://franchiseplus.nl/franchiseformule/hizi-hair
Hetuitzendbureau.nl,2010,33,,,,https://franchiseplus.nl/franchiseformule/hetuitzendbureaunl
Het Koningshofje,2014,3,2,€ 2.500,,https://franchiseplus.nl/franchiseformule/koningshofje
Het Chique Huis,,,,,,https://franchiseplus.nl/franchiseformule/chique-huis
Het Bemiddelingsbureau,2016,3,2,€ 2.500,€ 5.000,https://franchiseplus.nl/franchiseformule/bemiddelingsbureau
Heinde & Ver,2017,1,1,€ 200.000,€ 60.000,https://franchiseplus.nl/franchiseformule/heinde-ver
HEMA,1958,750,257,,,https://franchiseplus.nl/franchiseformule/hema
Has Doner Kebab,1999,20,16,€ 300.000,€ 11.000,https://franchiseplus.nl/franchiseformule/has-doner-kebab
HappyNurse,2011,17,16,,€ 0,https://franchiseplus.nl/franchiseformule/happynurse
Happy Tosti,2016,7,2,€ 165.000,,https://franchiseplus.nl/franchiseformule/happy-tosti
Happy Food,2008,21,21,,,https://franchiseplus.nl/franchiseformule/happy-food
Happy Bodies,,,,,,https://franchiseplus.nl/franchiseformule/happy-bodies
Handyman,,85,20,,,https://franchiseplus.nl/franchiseformule/handyman
Halfords,2014,51,51,,,https://franchiseplus.nl/franchiseformule/halfords
GSM Reparatie Centrum,,6,,,,https://franchiseplus.nl/franchiseformule/gsm-reparatie-centrum
Groente&Fruit,2015,28,2,€ 27.500,,https://franchiseplus.nl/franchiseformule/groentefruit
GroenRijk,1992,26,,,,https://franchiseplus.nl/franchiseformule/groenrijk
Grapedistrict,2008,12,2,€ 150.000,€ 30.000,https://franchiseplus.nl/franchiseformule/grapedistrict
GoPasta,2009,9,9,€ 120.000,€ 40.000,https://franchiseplus.nl/franchiseformule/gopasta
Golden Tulip,1962,86,34,,,https://franchiseplus.nl/franchiseformule/golden-tulip
Globos,,,,,,https://franchiseplus.nl/franchiseformule/globos
Go-Kids,2013,25,24,,,https://franchiseplus.nl/franchiseformule/go-kids
GlasGarage,1995,120,120,,,https://franchiseplus.nl/franchiseformule/glasgarage
Gezond & Wel,,100,,,,https://franchiseplus.nl/franchiseformule/gezond-wel
Gezinshuis.com,2007,190,190,,,https://franchiseplus.nl/franchiseformule/gezinshuiscom
German Doner Kebab,2016,60,60,€ 450.000,€ 60.000,https://franchiseplus.nl/franchiseformule/german-doner-kebab
Gelderblom Franchise in Vlees BV,1994,24,24,,,https://franchiseplus.nl/franchiseformule/gelderblom-franchise-in-vlees-bv
Geld & Woning,2000,13,13,€ 12.500,€ 12.500,https://franchiseplus.nl/franchiseformule/geld-woning
Gauchos Grill,,11,7,,,https://franchiseplus.nl/franchiseformule/gauchos-grill
Gastrovino,1932,31,,€ 100.000,€ 100.000,https://franchiseplus.nl/franchiseformule/gastrovino
Gastouderbureau Kinderoase,2004,67,17,,€ 0,https://franchiseplus.nl/franchiseformule/gastouderbureau-kinderoase
Gastouderbureau Je Beste Maatje,2010,8,8,,,https://franchiseplus.nl/franchiseformule/gastouderbureau-je-beste-maatje
Gamma,,166,,,,https://franchiseplus.nl/franchiseformule/gamma
Gall&Gall,,510,198,€ 70.000,€ 30.000,https://franchiseplus.nl/franchiseformule/gallgall
Fruitcompany,1983,8,8,€ 15.000,,https://franchiseplus.nl/franchiseformule/fruitcompany
Funtopia,,12,,€ 1.005.000,€ 215.000,https://franchiseplus.nl/franchiseformule/funtopia
Frietfiets,2014,6,3,€ 30.000,€ 10.000,https://franchiseplus.nl/franchiseformule/frietfiets
Frozen Yogurt,2017,4,3,€ 25.000,€ 7.500,https://franchiseplus.nl/franchiseformule/frozen-yogurt
Frietfeest,2011,6,5,€ 4.950,€ 4.950,https://franchiseplus.nl/franchiseformule/frietfeest
Freek,2017,10,10,,,https://franchiseplus.nl/franchiseformule/freek
Floortec,,7,7,,,https://franchiseplus.nl/franchiseformule/floortec
Flexschilder.nl,2012,12,0,,,https://franchiseplus.nl/franchiseformule/flexschildernl
Flexibility Onderwijs,2009,5,,,,https://franchiseplus.nl/franchiseformule/flexibility-onderwijs
Flexibility Uitzendbureau,2006,47,,,,https://franchiseplus.nl/franchiseformule/flexibility-uitzendbureau
Flexibility Multilingual,2015,3,,,,https://franchiseplus.nl/franchiseformule/flexibility-multilingual
Flexian Group,,,,,,https://franchiseplus.nl/franchiseformule/flexian-group
Five Guys,,0,,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/five-guys
FlexFirst Personeelsbemiddeling,2015,10,9,,,https://franchiseplus.nl/franchiseformule/flexfirst-personeelsbemiddeling
Fitwinkel,2005,5,5,,,https://franchiseplus.nl/franchiseformule/fitwinkel
Fit4lady,2004,17,14,€ 55,,https://franchiseplus.nl/franchiseformule/fit4lady
Finovion,2006,50,50,,,https://franchiseplus.nl/franchiseformule/finovion
Finzie,2016,50,50,€ 5.000,€ 25.000,https://franchiseplus.nl/franchiseformule/finzie
Financieel Zeker,,42,,,,https://franchiseplus.nl/franchiseformule/financieel-zeker
Financieel fit,1998,39,35,,€ 25.000,https://franchiseplus.nl/franchiseformule/financieel-fit
Finalit,2010,21,,€ 210.000,€ 80.000,https://franchiseplus.nl/franchiseformule/finalit
Filta Benelux,2013,22,19,€ 35.000,,https://franchiseplus.nl/franchiseformule/filta-benelux
Fidesta Zorg Franchise,2017,5,5,,,https://franchiseplus.nl/franchiseformule/fidesta-zorg-franchise
Fietswereld,1999,75,,,,https://franchiseplus.nl/franchiseformule/fietswereld
Fafa's,2015,39,,€ 240.000,€ 80.000,https://franchiseplus.nl/franchiseformule/fafas
FDC Financieel Planners & Adviseurs,,,,,,https://franchiseplus.nl/franchiseformule/fdc-financieel-planners-adviseurs
Eye Wish Opticiens,,245,52,€ 250.000,€ 20.000,https://franchiseplus.nl/franchiseformule/eye-wish-opticiens
Kaas en Zo,1982,1,,€ 100.000,€ 20.000,https://franchiseplus.nl/franchiseformule/kaas-zo
Karwei,,136,136,,,https://franchiseplus.nl/franchiseformule/karwei
Mango Mobility,0,15,4,,,https://franchiseplus.nl/franchiseformule/mango-mobility
Marc O'Polo,,,,,,https://franchiseplus.nl/franchiseformule/marc-opolo
Make-up Studio,,,,€ 180.000,,https://franchiseplus.nl/franchiseformule/make-up-studio
MakerPoint,2013,5,2,,,https://franchiseplus.nl/franchiseformule/makerpoint
Maison Makelaars,2017,7,6,€ 4.500,€ 0,https://franchiseplus.nl/franchiseformule/maison-makelaars
Mad Science,2004,6,6,€ 65.000,€ 50.000,https://franchiseplus.nl/franchiseformule/mad-science
Mail Boxes Etc.,,,,,,https://franchiseplus.nl/franchiseformule/mail-boxes-etc
Léon Zuidgeest Kappers,,,,,,https://franchiseplus.nl/franchiseformule/leon-zuidgeest-kappers
Lunch van huis,2018,1,0,€ 5.000,€ 10.000,https://franchiseplus.nl/franchiseformule/lunch-van-huis
LUKOIL,2012,74,,€ 50.000,€ 50.000,https://franchiseplus.nl/franchiseformule/lukoil
Luciano,1996,14,14,,,https://franchiseplus.nl/franchiseformule/luciano
Lopers Company,2012,13,13,,,https://franchiseplus.nl/franchiseformule/lopers-company
Lokale Helden & Co,2017,,,,,https://franchiseplus.nl/franchiseformule/lokale-helden-co
Loetje,,16,0,,,https://franchiseplus.nl/franchiseformule/loetje
Livera,1969,100,100,,€ 35.000,https://franchiseplus.nl/franchiseformule/livera
Liquid Smoker,2017,2,,€ 30.000,,https://franchiseplus.nl/franchiseformule/liquid-smoker
Linolux,1982,50,50,€ 100,€ 25,https://franchiseplus.nl/franchiseformule/linolux
Lincherie,1994,34,23,€ 110.000,€ 40.000,https://franchiseplus.nl/franchiseformule/lincherie
Lilly's,2009,6,5,€ 52.500,€ 25.000,https://franchiseplus.nl/franchiseformule/lillys
Life & Garden,2004,40,6,,,https://franchiseplus.nl/franchiseformule/life-garden
LesGO,2001,48,47,,,https://franchiseplus.nl/franchiseformule/lesgo
Lekker Voordelig,2018,3,1,€ 35.000,€ 15.000,https://franchiseplus.nl/franchiseformule/lekker-voordelig
Lekker Makkelijk,2015,,62,,,https://franchiseplus.nl/franchiseformule/lekker-makkelijk
Lekker Puh!!!,,,,,,https://franchiseplus.nl/franchiseformule/lekker-puh
Leasycare,2017,4,3,,€ 25.000,https://franchiseplus.nl/franchiseformule/leasycare
Leadership Management Nederland,1966,9,8,,,https://franchiseplus.nl/franchiseformule/leadership-management-nederland
Le Perron,2010,30,30,€ 150.000,€ 25.000,https://franchiseplus.nl/franchiseformule/le-perron
Laptop Plus,2003,15,15,,€ 2.000,https://franchiseplus.nl/franchiseformule/laptop-plus
Lancyr,,71,70,,,https://franchiseplus.nl/franchiseformule/lancyr
La Place,2012,58,18,,,https://franchiseplus.nl/franchiseformule/la-place
La Cubanita,2005,45,,€ 100.000,€ 30.000,https://franchiseplus.nl/franchiseformule/la-cubanita
KUBUS administratiekantoren,2003,102,102,€ 4.200,€ 2.500,https://franchiseplus.nl/franchiseformule/kubus-administratiekantoren
Kroon Kozijn,1994,25,25,€ 30.000,€ 30.000,https://franchiseplus.nl/franchiseformule/kroon-kozijn
KostenCheck,2011,2,1,€ 500,€ 0,https://franchiseplus.nl/franchiseformule/kostencheck
Kop & Schouders,2010,11,11,€ 5.000,€ 15.000,https://franchiseplus.nl/franchiseformule/kop-schouders
Koopplein.nl,2007,248,25,€ 2.500,€ 2.500,https://franchiseplus.nl/franchiseformule/kooppleinnl
Koophuis,1987,10,10,,,https://franchiseplus.nl/franchiseformule/koophuis
Kookai,1996,5,5,€ 200.000,€ 39.500,https://franchiseplus.nl/franchiseformule/kookai
Kokkie,1990,8,8,,,https://franchiseplus.nl/franchiseformule/kokkie
Koetshuysch Kaas,2011,11,11,€ 25.000,€ 25.000,https://franchiseplus.nl/franchiseformule/koetshuysch-kaas
Knutselkookclub,,5,,,,https://franchiseplus.nl/franchiseformule/knutselkookclub
KNAP! Leren & Meer,2019,5,,€ 47.000,€ 9.000,https://franchiseplus.nl/franchiseformule/knap-leren-meer
KlusWijs,2011,38,34,,,https://franchiseplus.nl/franchiseformule/kluswijs
Klaassen Horecamakelaardij,,26,24,€ 15.000,€ 15.000,https://franchiseplus.nl/franchiseformule/klaassen-horecamakelaardij
Kitchen Restyle Keukenrenovatie,2012,27,27,,€ 1.500,https://franchiseplus.nl/franchiseformule/kitchen-restyle-keukenrenovatie
Kippie,1995,49,48,,,https://franchiseplus.nl/franchiseformule/kippie
KINOP,,,20,€ 2.500,,https://franchiseplus.nl/franchiseformule/kinop
Kinki Kappers,,35,35,€ 50.000,€ 12.500,https://franchiseplus.nl/franchiseformule/kinki-kappers
Kindercentrum Amberrosia,2015,4,3,,,https://franchiseplus.nl/franchiseformule/kindercentrum-amberrosia
Kidsintown,,,,,,https://franchiseplus.nl/franchiseformule/kidsintown
Kickboxing Institute,2018,6,1,€ 35.000,€ 10.000,https://franchiseplus.nl/franchiseformule/kickboxing-institute
Keukensale.com,2014,33,32,€ 150.000,€ 75.000,https://franchiseplus.nl/franchiseformule/keukensalecom
Keukendepot,,11,,€ 100.000,,https://franchiseplus.nl/franchiseformule/keukendepot
Kentucky Fried Chicken,1952,62,62,€ 1.600.000,€ 400.000,https://franchiseplus.nl/franchiseformule/kentucky-fried-chicken
Kenneth Smit,1987,81,80,€ 25.000,€ 6.000,https://franchiseplus.nl/franchiseformule/kenneth-smit
KAUAI,,150,75,,,https://franchiseplus.nl/franchiseformule/kauai
Kaldi Koffie en Thee,2001,30,30,€ 100.000,€ 30.000,https://franchiseplus.nl/franchiseformule/kaldi-koffie-thee
Kaatje Jans,0,23,21,€ 100.000,€ 20.000,https://franchiseplus.nl/franchiseformule/kaatje-jans
Kaashuis Tromp,1993,15,12,€ 150.000,€ 30.000,https://franchiseplus.nl/franchiseformule/kaashuis-tromp
Just Kiddies,2010,4,2,,,https://franchiseplus.nl/franchiseformule/just-kiddies
Jumping Joe,,7,,,,https://franchiseplus.nl/franchiseformule/jumping-joe
Jumper de diersuper,1992,71,37,,,https://franchiseplus.nl/franchiseformule/jumper-diersuper
Jump XL,2014,30,15,€ 950.000,€ 300.000,https://franchiseplus.nl/franchiseformule/jump-xl
Jump Square,2016,10,3,€ 950.000,€ 270.000,https://franchiseplus.nl/franchiseformule/jump-square
JuicyDetails,,4,4,€ 75.000,€ 25.000,https://franchiseplus.nl/franchiseformule/juicydetails
Juffrouw Tok,2005,8,3,,€ 40.000,https://franchiseplus.nl/franchiseformule/juffrouw-tok
Jumbo,1996,580,,,,https://franchiseplus.nl/franchiseformule/jumbo
Jouw Marktkraam,2014,25,25,€ 30.000,€ 30.000,https://franchiseplus.nl/franchiseformule/jouw-marktkraam
Jones & Jones,,10,,,,https://franchiseplus.nl/franchiseformule/jones-jones
Jase & Joy,2019,7,7,,,https://franchiseplus.nl/franchiseformule/jase-joy
JAMES,,,,,,https://franchiseplus.nl/franchiseformule/james
Jacketz,,3,,€ 175.000,€ 40.000,https://franchiseplus.nl/franchiseformule/jacketz
IXINA,1971,250,250,€ 350.000,€ 100.000,https://franchiseplus.nl/franchiseformule/ixina
iQ Coaches,,53,53,,,https://franchiseplus.nl/franchiseformule/iq-coaches
IQ Balance,2013,1,,€ 6.560,€ 10.000,https://franchiseplus.nl/franchiseformule/iq-balance
Intratuin,,,59,,,https://franchiseplus.nl/franchiseformule/intratuin
InXpress Nederland,2013,15,12,,€ 25.000,https://franchiseplus.nl/franchiseformule/inxpress-nederland
INTO,,35,35,,,https://franchiseplus.nl/franchiseformule/into
Intertoys,1976,265,116,,,https://franchiseplus.nl/franchiseformule/intertoys
Intersport,1968,70,70,,,https://franchiseplus.nl/franchiseformule/intersport
International Art School,2009,100,100,€ 14.995,€ 14.995,https://franchiseplus.nl/franchiseformule/international-art-school
Intensity Perfumes,2005,9,1,€ 45.000,€ 18.000,https://franchiseplus.nl/franchiseformule/intensity-perfumes
InstalCenter,2001,45,45,,,https://franchiseplus.nl/franchiseformule/instalcenter
INQAR Autoverhuur & Shortlease,,29,,,,https://franchiseplus.nl/franchiseformule/inqar-autoverhuur-shortlease
Inkstation,1998,40,40,,,https://franchiseplus.nl/franchiseformule/inkstation
Inkmaster,2006,3,1,€ 35.000,€ 35.000,https://franchiseplus.nl/franchiseformule/inkmaster
Inestasy,,,,,,https://franchiseplus.nl/franchiseformule/inestasy
Indigo,2006,200,200,,,https://franchiseplus.nl/franchiseformule/indigo
Nelson Schoenen,,47,12,,€ 20.000,https://franchiseplus.nl/franchiseformule/nelson-schoenen
Plameco,,180,180,,,https://franchiseplus.nl/franchiseformule/plameco
RegioBank,,529,529,,,https://franchiseplus.nl/franchiseformule/regiobank
RedFoxBlue,2001,22,22,€ 2.000,€ 2.000,https://franchiseplus.nl/franchiseformule/redfoxblue
REDDY Keukens,2008,15,15,€ 275.000,€ 50.000,https://franchiseplus.nl/franchiseformule/reddy-keukens
Recruit a Student,1999,12,9,€ 25.000,€ 10.000,https://franchiseplus.nl/franchiseformule/recruit-a-student
Rappórt bewindvoering & inkomensbeheer,2010,30,30,€ 15.000,€ 15.000,https://franchiseplus.nl/franchiseformule/rapport-bewindvoering-inkomensbeheer
Quebit,2019,1,,€ 6.000,,https://franchiseplus.nl/franchiseformule/quebit
Quality Centers,2000,23,23,,€ 50.000,https://franchiseplus.nl/franchiseformule/quality-centers
QoQo Massage,,0,,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/qoqo-massage
Qjobs,2009,7,7,€ 2.400,€ 0,https://franchiseplus.nl/franchiseformule/qjobs
QIOZ Mobiele Kappers,,21,2,€ 2.350,,https://franchiseplus.nl/franchiseformule/qioz-mobiele-kappers
Pulzzz,2011,27,27,,,https://franchiseplus.nl/franchiseformule/pulzzz
Puff Stores,2013,12,4,€ 75.000,€ 30.000,https://franchiseplus.nl/franchiseformule/puff-stores
Pronto Wonen,2003,39,39,€ 650.000,€ 137.500,https://franchiseplus.nl/franchiseformule/pronto-wonen
Profile de Fietsspecialist,,225,56,,,https://franchiseplus.nl/franchiseformule/profile-fietsspecialist
Profile Car & Tyreservice,1989,172,172,,,https://franchiseplus.nl/franchiseformule/profile-car-tyreservice
Profijt Meubel,1993,35,35,€ 300.000,€ 75.000,https://franchiseplus.nl/franchiseformule/profijt-meubel
Proeflokaal Sijgje,,5,,,,https://franchiseplus.nl/franchiseformule/proeflokaal-sijgje
Proeflokaal Bregje,2014,21,21,,€ 50.000,https://franchiseplus.nl/franchiseformule/proeflokaal-bregje
Primera,1991,504,504,€ 200.000,€ 50.000,https://franchiseplus.nl/franchiseformule/primera
Primatch HR Groep,2013,7,6,,,https://franchiseplus.nl/franchiseformule/primatch-hr-groep
Praxis,,193,43,,,https://franchiseplus.nl/franchiseformule/praxis
PraQtijkplus,2006,0,0,,,https://franchiseplus.nl/franchiseformule/praqtijkplus
Pour Vous,1960,30,30,€ 300.000,,https://franchiseplus.nl/franchiseformule/pour-vous
PostMasters,2006,11,10,€ 100.000,,https://franchiseplus.nl/franchiseformule/postmasters
PORTAS,1976,220,220,€ 45.000,€ 15.000,https://franchiseplus.nl/franchiseformule/portas
Pomms',2016,2,2,€ 100.000,€ 25.000,https://franchiseplus.nl/franchiseformule/pomms
PLUS,1988,262,216,€ 350.000,€ 25.000,https://franchiseplus.nl/franchiseformule/plus
Plentyparts,,26,26,€ 135.000,€ 40.000,https://franchiseplus.nl/franchiseformule/plentyparts
Plaza Food For All,2001,75,75,,,https://franchiseplus.nl/franchiseformule/plaza-food-for-all
Planhus,0,0,0,,,https://franchiseplus.nl/franchiseformule/planhus
Pizza Hut,,,,,,https://franchiseplus.nl/franchiseformule/pizza-hut
Pius Floris Boomverzorging,1994,15,,,,https://franchiseplus.nl/franchiseformule/pius-floris-boomverzorging
Pinoccio,1982,3,3,€ 65.000,€ 35.000,https://franchiseplus.nl/franchiseformule/pinoccio
PIRNAR,2012,27,25,€ 110.000,€ 55.000,https://franchiseplus.nl/franchiseformule/pirnar
PIDZ,2013,13,10,,,https://franchiseplus.nl/franchiseformule/pidz
PHC tailored telecom,1997,,,,,https://franchiseplus.nl/franchiseformule/phc-tailored-telecom
Pets&Co,2010,43,43,,,https://franchiseplus.nl/franchiseformule/petsco
Pets Place,1988,180,175,,€ 25.000,https://franchiseplus.nl/franchiseformule/pets-place
Petje af Nederland,2015,19,11,,,https://franchiseplus.nl/franchiseformule/petje-af-nederland
PersoneelSelectief,2008,2,1,€ 1.000,€ 1.000,https://franchiseplus.nl/franchiseformule/personeelselectief
Perfumarte,2011,80,70,€ 35.000,€ 35.000,https://franchiseplus.nl/franchiseformule/perfumarte
Personal Touch Travel,2006,150,150,,,https://franchiseplus.nl/franchiseformule/personal-touch-travel
Pepp.fit,,4,,,,https://franchiseplus.nl/franchiseformule/peppfit
People Company,2015,5,5,,€ 1.000,https://franchiseplus.nl/franchiseformule/people-company
Pearle Opticiens,,304,152,€ 250.000,€ 20.000,https://franchiseplus.nl/franchiseformule/pearle-opticiens
PartsNL,2013,30,30,,,https://franchiseplus.nl/franchiseformule/partsnl
Panos,2003,220,0,€ 60.000,€ 18.000,https://franchiseplus.nl/franchiseformule/panos
Pannenkoe,2010,8,4,,,https://franchiseplus.nl/franchiseformule/pannenkoe
Palthe Stomerijen,,26,26,€ 90.000,€ 18.000,https://franchiseplus.nl/franchiseformule/palthe-stomerijen
OTAK puur wonen,1992,8,8,€ 100.000,€ 75.000,https://franchiseplus.nl/franchiseformule/otak-puur-wonen
Orentus,2004,2,2,,,https://franchiseplus.nl/franchiseformule/orentus
Online Careers,2015,3,3,,,https://franchiseplus.nl/franchiseformule/online-careers
One Mobility,,13,12,,,https://franchiseplus.nl/franchiseformule/one-mobility
Olympia Uitzendbureau,1998,140,,,,https://franchiseplus.nl/franchiseformule/olympia-uitzendbureau
Oil & Vinegar,2000,110,85,€ 160.000,€ 50.000,https://franchiseplus.nl/franchiseformule/oil-vinegar
OAMKB,2010,54,54,€ 15.000,,https://franchiseplus.nl/franchiseformule/oamkb
NZA New Zealand Auckland,2014,,5,€ 140.000,€ 30.500,https://franchiseplus.nl/franchiseformule/nza-new-zealand-auckland
NXXT,2009,140,140,,€ 5.000,https://franchiseplus.nl/franchiseformule/nxxt
Nunazorg,2010,20,,,,https://franchiseplus.nl/franchiseformule/nunazorg
Nederland Bruist,,,1,€ 10.000,€ 14.500,https://franchiseplus.nl/franchiseformule/nederland-bruist
Nanny Nina,2016,8,8,€ 8.000,,https://franchiseplus.nl/franchiseformule/nanny-nina
MultiTegel,2017,1,1,,,https://franchiseplus.nl/franchiseformule/multitegel
MultiMate,1996,70,70,,,https://franchiseplus.nl/franchiseformule/multimate
Multicopy The Communication Company,1981,68,68,,,https://franchiseplus.nl/franchiseformule/multicopy-communication-company
MotoPort,1982,21,21,€ 100.000,€ 1.000.000,https://franchiseplus.nl/franchiseformule/motoport
Morgana,1987,19,14,,,https://franchiseplus.nl/franchiseformule/morgana
Mooi Parfumerie,2007,49,49,€ 350.000,€ 80.000,https://franchiseplus.nl/franchiseformule/mooi-parfumerie
Montel,,34,12,€ 400.000,,https://franchiseplus.nl/franchiseformule/montel
Monkey Town,2009,42,40,€ 380.000,€ 100.000,https://franchiseplus.nl/franchiseformule/monkey-town
Mobile Service Centre,2016,5,4,,€ 2.500,https://franchiseplus.nl/franchiseformule/mobile-service-centre
Mobella,,190,65,€ 500,€ 500,https://franchiseplus.nl/franchiseformule/mobella
MisterSales,2016,2,1,,,https://franchiseplus.nl/franchiseformule/mistersales
Minicards,2000,32,29,€ 10.000,,https://franchiseplus.nl/franchiseformule/minicards
mijnTafel,2013,11,10,€ 12.500,,https://franchiseplus.nl/franchiseformule/mijntafel
Midas,1956,2700,2700,,,https://franchiseplus.nl/franchiseformule/midas
Mexicaans eetcafé Tortillas,2004,3,2,€ 200.000,€ 50.000,https://franchiseplus.nl/franchiseformule/mexicaans-eetcafe-tortillas
Mevrouw/Meneer de Aankoopmakelaar,2013,7,5,,,https://franchiseplus.nl/franchiseformule/mevrouwmeneer-aankoopmakelaar
Mercure,1967,14,,,,https://franchiseplus.nl/franchiseformule/mercure
Mentaal Beter,,,,,,https://franchiseplus.nl/franchiseformule/mentaal-beter
Mega,2008,6,6,,,https://franchiseplus.nl/franchiseformule/mega
Mediators Collectief,1991,15,15,,,https://franchiseplus.nl/franchiseformule/mediators-collectief
MCD Supermarkt,,26,15,€ 70.000,€ 50.000,https://franchiseplus.nl/franchiseformule/mcd-supermarkt
McDonald's,1976,245,224,€ 1.000.000,€ 250.000,https://franchiseplus.nl/franchiseformule/mcdonalds
